Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange
XXII,"22nd Century Group, Inc",1.83,166338278.2,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii,AMEX
FAX,Aberdeen Asia-Pacific Income Fund Inc,5.05,1278995921,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax,AMEX
IAF,Aberdeen Australia Equity Fund Inc,6.02,136908802.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf,AMEX
CH,"Aberdeen Chile Fund, Inc.",7.16,67001060.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch,AMEX
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,14.08,135786604.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe,AMEX
FCO,"Aberdeen Global Income Fund, Inc.",8.68,75900767.04,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco,AMEX
IF,"Aberdeen Indonesia Fund, Inc.",7.64,71085432.64,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/if,AMEX
ISL,"Aberdeen Israel Fund, Inc.",18.941,75726099.06,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl,AMEX
ACU,Acme United Corporation.,26.9,90241752.8,n/a,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu,AMEX
AIII,"ACRE Realty Investors, Inc.",1.11,22749040.41,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii,AMEX
ATNM,"Actinium Pharmaceuticals, Inc.",1.18,68967169.72,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm,AMEX
AE,"Adams Resources & Energy, Inc.",41.68,175789401.3,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae,AMEX
ADK,Adcare Health Systems Inc,0.94,18617568.56,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk,AMEX
ADK^A,Adcare Health Systems Inc,21.5501,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a,AMEX
ACY,AeroCentury Corp.,11.85,16787883.15,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy,AMEX
AIRI,Air Industries Group,1.93,14764818.45,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi,AMEX
AAMC,Altisource Asset Management Corp,91,141455951,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc,AMEX
DIT,AMCON Distributing Company,105.5,71627959,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit,AMEX
AMS,American Shared Hospital Services,3.8995,22254446.5,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams,AMEX
AMPE,"Ampio Pharmaceuticals, Inc.",0.58,39574797.22,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe,AMEX
APHB,AmpliPhi Biosciences Corporation,0.83,5501103.88,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aphb,AMEX
AXN,"Aoxing Pharmaceutical Company, Inc.",0.32,24386942.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axn,AMEX
ARNC^,Arconic Inc.,88.5,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arnc^,AMEX
AINC,Ashford Inc.,49.795,100437710.1,n/a,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc,AMEX
ASB.WS,Associated Banc-Corp,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb.ws,AMEX
AST,"Asterias Biotherapeutics, Inc.",3.7,182273418.2,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast,AMEX
AST.WS,"Asterias Biotherapeutics, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ast.ws,AMEX
AUXO,"Auxilio, Inc.",4.63,43469991.21,n/a,2017,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/auxo,AMEX
AWX,Avalon Holdings Corporation,2.46,9356194.26,n/a,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx,AMEX
BTN,"Ballantyne Strong, Inc",6.65,94779756.75,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn,AMEX
BKJ,"Bancorp of New Jersey, Inc",16.55,105222103.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj,AMEX
BCV,Bancroft Fund Limited,21.675,113791582.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv,AMEX
BCV^A,Bancroft Fund Limited,25.6198,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv^a,AMEX
BHB,"Bar Harbor Bankshares, Inc.",29.55,454799794.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb,AMEX
BRN,"Barnwell Industries, Inc.",1.78,14733344.8,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn,AMEX
BGSF,BG Staffing Inc,18.51,161776992.8,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf,AMEX
BPMX,BioPharmX Corporation,0.4438,32898820.77,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmx,AMEX
BTX,"BioTime, Inc.",3.1,343714391,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx,AMEX
BTX.WS,"BioTime, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/btx.ws,AMEX
BZM,BlackRock Maryland Municipal Bond Trust,14.706,30577612.27,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm,AMEX
MHE,BlackRock Massachusetts Tax-Exempt Trust,13.87,32834561.96,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/mhe,AMEX
BLE,BlackRock Municipal Income Trust II,15.29,359320030.4,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/ble,AMEX
BLJ,Blackrock New Jersey Municipal Bond Trust,14.9611,34810126.02,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj,AMEX
BFY,BlackRock New York Municipal Income Trust II,15.05,75319967.45,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy,AMEX
BHV,BlackRock Virginia Municipal Bond Trust,18.12,28946772.48,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv,AMEX
BDR,"Blonder Tongue Laboratories, Inc.",0.51,4142135.85,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr,AMEX
BVX,Bovie Medical Corporation,2.4,74063407.2,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx,AMEX
CEI,"Camber Energy, Inc.",0.2591,6157960.52,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cei,AMEX
ROX,"Castle Brands, Inc.",1.77,288727502.9,n/a,2006,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox,AMEX
CAW,"CCA Industries, Inc.",3.2001,22422089.47,n/a,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw,AMEX
CVM,Cel-Sci Corporation,1.99,18294255.07,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm,AMEX
CVM.WS,Cel-Sci Corporation,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvm.ws,AMEX
CET,Central Securities Corporation,25.2,627017958,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cet,AMEX
LEU,Centrus Energy Corp.,4.64,41760000,n/a,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/leu,AMEX
CCF,Chase Corporation,106.8,998673984,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf,AMEX
CQP,"Cheniere Energy Partners, LP",31.12,10513157195,n/a,2007,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp,AMEX
LNG,"Cheniere Energy, Inc.",48.26,11480165630,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng,AMEX
CVR,Chicago Rivet & Machine Co.,37.46,36191304.72,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr,AMEX
CKX,"CKX Lands, Inc.",11.5,22338692.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx,AMEX
GLV,Clough Global Dividend and Income Fund,13.34,138637364,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/glv,AMEX
GLQ,Clough Global Equity Fund,12.7,224196973.5,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/glq,AMEX
GLO,Clough Global Opportunities Fund,10.59,546169284.8,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/glo,AMEX
MOC,Command Security Corporation,3.21,31612677.06,n/a,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/moc,AMEX
CIX,CompX International Inc.,16.45,204294310.2,n/a,1998,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix,AMEX
LODE,"Comstock Mining, Inc.",0.175,33593126.35,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode,AMEX
CTO,Consolidated-Tomoka Land Co.,56.57,318319390,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto,AMEX
MCF,Contango Oil & Gas Company,6.52,166731037.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf,AMEX
CUO,Continental Materials Corporation,20.85,35073181.95,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cuo,AMEX
CMT,Core Molding Technologies Inc,22.45,174939155.5,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt,AMEX
CVRS,"Corindus Vascular Robotics, Inc.",1.85,346099703.9,n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cvrs,AMEX
CRMD,CorMedix Inc,0.4718,27996677.58,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crmd,AMEX
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",15.07,196885481.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crf,AMEX
CLM,"Cornerstone Strategic Value Fund, Inc.",15.15,434763322.4,n/a,1987,n/a,n/a,http://www.nasdaq.com/symbol/clm,AMEX
