Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange
DDD,3D Systems Corporation,21.28,2421890611,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,NYSE
MMM,3M Company,212.61,1.26979E+11,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,NYSE
AHC,A.H. Belo Corporation,5.45,118436489.7,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,NYSE
AAC,"AAC Holdings, Inc.",7.08,170429540.5,n/a,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac,NYSE
AIR,AAR Corp.,34.4,1180750794,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,NYSE
AAN,"Aaron&#39;s,  Inc.",38.76,2813134947,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,NYSE
ABT,Abbott Laboratories,48.91,84872156161,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,NYSE
ABBV,AbbVie Inc.,72.74,1.15769E+11,n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv,NYSE
ANF,Abercrombie & Fitch Company,12.22,831157792.9,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf,NYSE
GCH,"Aberdeen Greater China Fund, Inc.",11.51,101481298.9,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch,NYSE
JEQ,"Aberdeen Japan Equity Fund, Inc. ",8.54,114245489.7,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq,NYSE
SGF,"Aberdeen Singapore Fund, Inc.",10.98,81460049.04,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf,NYSE
ABM,ABM Industries Incorporated,41.76,2328940250,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm,NYSE
AKR,Acadia Realty Trust,27.97,2369906155,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr,NYSE
ACCO,Acco Brands Corporation,11.45,1254354485,n/a,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco,NYSE
ATU,Actuant Corporation,24.05,1435372903,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu,NYSE
AYI,Acuity Brands Inc,176.56,7431849328,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi,NYSE
GOLF,Acushnet Holdings Corp.,19.62,1460747789,n/a,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf,NYSE
ADX,"Adams Diversified Equity Fund, Inc.",14.35,1426918424,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx,NYSE
PEO,"Adams Natural Resources Fund, Inc.",18.52,528844248.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo,NYSE
ATGE,Adtalem Global Education Inc.,37.45,2345922527,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/atge,NYSE
AAP,Advance Auto Parts Inc,121.79,8993542359,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap,NYSE
ADSW,"Advanced Disposal Services, Inc.",23.1,2038927275,n/a,2016,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw,NYSE
WMS,"Advanced Drainage Systems, Inc.",20.9,1162365371,n/a,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms,NYSE
ASIX,AdvanSix Inc.,32.76,998621966.2,n/a,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix,NYSE
AVK,Advent Claymore Convertible Securities and Income Fund,15.96,376350796.9,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk,NYSE
AGC,Advent Claymore Convertible Securities and Income Fund II,6.25,201230475,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc,NYSE
ACM,AECOM,32.62,5080039296,n/a,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm,NYSE
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",20.38,1518310000,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd,NYSE
AET,Aetna Inc.,151.19,50149723000,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet,NYSE
AMG,"Affiliated Managers Group, Inc.",162.36,9189978978,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg,NYSE
MGR,"Affiliated Managers Group, Inc.",25.4,0,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr,NYSE
AFL,Aflac Incorporated,77.51,30759578261,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl,NYSE
AFSD,Aflac Incorporated,25.6099,0,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd,NYSE
MITT,"AG Mortgage Investment Trust, Inc.",18.99,526122317.7,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt,NYSE
