ticker,name,marketCap,ipoyear,sector,industry,link,exchange,Country,spy,qqq,dow
PG,Procter & Gamble Company (The),2.29E+11,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/pg,NYSE,USA,TRUE,,TRUE
DOW,Dow Chemical Company (The),77663642991,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dow,NYSE,USA,TRUE,,
DD,E.I. du Pont de Nemours and Company,70368317120,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd,NYSE,USA,TRUE,,TRUE
MON,Monsanto Company,51691540345,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/mon,NYSE,USA,TRUE,,
ECL,Ecolab Inc.,38291793576,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/ecl,NYSE,USA,TRUE,,
PX,"Praxair, Inc.",37917831281,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/px,NYSE,USA,TRUE,,
LYB,LyondellBasell Industries NV,32580000000,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lyb,NYSE,USA,TRUE,,
APD,"Air Products and Chemicals, Inc.",31550455991,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd,NYSE,USA,TRUE,,
PPG,"PPG Industries, Inc.",28391737577,n/a,Basic Industries,Paints/Coatings,http://www.nasdaq.com/symbol/ppg,NYSE,USA,TRUE,,
GLW,Corning Incorporated,27818602084,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/glw,NYSE,USA,TRUE,,
IP,International Paper Company,23423760894,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ip,NYSE,USA,TRUE,,
NUE,Nucor Corporation,18316767053,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/nue,NYSE,USA,TRUE,,
NEM,Newmont Mining Corporation,18007288338,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/nem,NYSE,USA,TRUE,,
VMC,Vulcan Materials Company,17640219854,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/vmc,NYSE,USA,TRUE,,
FCX,"Freeport-McMoran, Inc.",17101328123,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/fcx,NYSE,USA,TRUE,,
MLM,"Martin Marietta Materials, Inc.",14579769342,1994,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/mlm,NYSE,USA,TRUE,,
CHD,"Church & Dwight Company, Inc.",13232942641,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/chd,NYSE,USA,TRUE,,
MAS,Masco Corporation,12426410361,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/mas,NYSE,USA,TRUE,,
LEN,Lennar Corporation,12299933177,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/len,NYSE,USA,TRUE,,
EMN,Eastman Chemical Company,12210098897,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/emn,NYSE,USA,TRUE,,
ALB,Albemarle Corporation,11631205286,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb,NYSE,USA,TRUE,,
