"Date","Price","Open","High","Low","Change %"
"Jul 13, 2017","198.72","224.81","226.99","196.98","-11.61"
"Jul 12, 2017","224.81","190.61","228.11","181.50","17.94"
"Jul 11, 2017","190.61","204.56","215.19","175.69","-6.82"
"Jul 10, 2017","204.56","237.67","239.94","186.16","-13.93"
"Jul 09, 2017","237.67","246.68","252.85","236.03","-3.65"
"Jul 08, 2017","246.68","241.20","249.00","231.61","2.28"
"Jul 07, 2017","241.19","266.01","266.96","236.11","-9.33"
"Jul 06, 2017","266.01","266.27","275.00","261.95","0.01"
"Jul 05, 2017","265.98","269.15","274.81","253.75","-1.12"
"Jul 04, 2017","269.00","276.37","282.81","266.12","-2.67"
"Jul 03, 2017","276.37","284.60","285.00","273.07","-2.84"
"Jul 02, 2017","284.46","263.12","293.73","255.76","8.36"
"Jul 01, 2017","262.52","280.73","281.98","253.50","-6.49"
"Jun 30, 2017","280.73","292.95","306.50","270.88","-4.18"
"Jun 29, 2017","292.98","315.32","322.90","287.72","-7.08"
"Jun 28, 2017","315.32","287.24","323.67","260.14","9.78"
"Jun 27, 2017","287.24","251.90","287.98","211.01","14.15"
"Jun 26, 2017","251.64","278.39","292.89","207.00","-9.61"
"Jun 25, 2017","278.40","304.50","310.00","251.48","-8.70"
"Jun 24, 2017","304.92","326.96","330.62","297.09","-6.74"
"Jun 23, 2017","326.96","320.02","332.79","317.61","2.17"
"Jun 22, 2017","320.02","326.73","334.47","305.50","-2.05"
"Jun 21, 2017","326.73","350.89","352.00","74.00","-6.89"
"Jun 20, 2017","350.89","358.71","365.76","325.36","-2.18"
"Jun 19, 2017","358.71","351.85","362.32","348.01","2.09"
"Jun 18, 2017","351.38","368.99","380.91","340.97","-4.77"
"Jun 17, 2017","368.99","354.27","369.00","342.00","4.16"
"Jun 16, 2017","354.26","343.71","362.02","314.10","3.06"
"Jun 15, 2017","343.73","341.70","353.78","254.88","0.59"
"Jun 14, 2017","341.70","387.99","394.45","315.14","-11.93"
"Jun 13, 2017","387.99","397.18","400.00","360.22","-2.31"
"Jun 12, 2017","397.18","343.03","419.30","312.50","15.79"
"Jun 11, 2017","343.03","341.61","354.39","317.05","0.42"
"Jun 10, 2017","341.61","279.39","357.94","278.95","22.27"
"Jun 09, 2017","279.39","258.64","279.39","258.64","8.02"
"Jun 08, 2017","258.64","255.99","261.00","250.80","1.04"
"Jun 07, 2017","255.99","264.69","265.63","245.59","-3.29"
"Jun 06, 2017","264.69","247.98","269.32","247.00","6.74"
"Jun 05, 2017","247.98","245.45","248.97","241.26","1.03"
"Jun 04, 2017","245.45","224.95","249.04","224.24","9.11"
"Jun 03, 2017","224.95","221.91","226.99","218.79","1.37"
"Jun 02, 2017","221.91","222.03","229.54","216.60","-0.05"
"Jun 01, 2017","222.03","228.99","237.71","207.00","-2.82"
"May 31, 2017","228.47","228.59","234.73","215.54","-0.05"
"May 30, 2017","228.59","194.90","232.50","185.09","17.28"
"May 29, 2017","194.91","175.61","199.00","167.12","11.04"
"May 28, 2017","175.53","159.77","184.93","159.77","9.86"
"May 27, 2017","159.77","163.81","171.58","119.00","-2.47"
"May 26, 2017","163.81","180.87","199.99","143.80","-9.43"
"May 25, 2017","180.87","196.05","217.41","162.75","-6.30"
"May 24, 2017","193.03","169.50","201.15","167.81","13.88"
"May 23, 2017","169.50","160.39","176.04","155.06","5.68"
"May 22, 2017","160.39","148.00","181.46","133.38","8.37"
"May 21, 2017","148.00","123.06","148.60","121.72","20.27"
"May 20, 2017","123.06","124.38","129.07","120.61","-1.06"
"May 19, 2017","124.38","95.88","129.47","95.73","29.72"
"May 18, 2017","95.88","86.98","96.10","86.69","10.23"
"May 17, 2017","86.98","87.80","89.40","81.99","-0.93"
"May 16, 2017","87.80","90.32","92.18","85.68","-2.79"
"May 15, 2017","90.32","88.72","94.30","86.75","1.80"
"May 14, 2017","88.72","87.96","89.70","86.33","0.86"
"May 13, 2017","87.96","85.15","88.59","81.81","3.30"
"May 12, 2017","85.15","88.20","90.57","83.15","-3.46"
"May 11, 2017","88.20","87.83","90.55","85.77","0.42"
"May 10, 2017","87.83","86.27","91.32","84.99","1.81"
"May 09, 2017","86.27","88.39","89.58","75.07","-2.40"
"May 08, 2017","88.39","90.46","93.45","80.93","-2.29"
"May 07, 2017","90.46","94.82","96.37","62.74","-4.60"
"May 06, 2017","94.82","90.79","95.60","90.56","4.44"
