"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 13, 2017","115.77","116.04","116.04","115.67","2.15M","-0.22"
"Jul 12, 2017","116.03","116.21","116.33","115.87","4.65M","0.35"
"Jul 11, 2017","115.62","115.26","115.77","114.88","6.64M","0.13"
"Jul 10, 2017","115.47","115.02","115.57","114.83","4.97M","0.16"
"Jul 07, 2017","115.28","115.78","115.79","114.80","11.15M","-1.02"
"Jul 06, 2017","116.47","116.58","116.61","116.24","4.44M","-0.04"
"Jul 05, 2017","116.52","115.91","116.67","115.87","7.22M","0.37"
"Jul 03, 2017","116.09","116.54","116.85","115.94","12.15M","-1.64"
"Jun 30, 2017","118.02","118.08","118.41","117.95","7.27M","-0.25"
"Jun 29, 2017","118.32","117.97","118.64","117.91","7.71M","-0.49"
"Jun 28, 2017","118.90","119.06","119.06","118.69","4.22M","0.08"
"Jun 27, 2017","118.81","118.87","119.05","118.48","5.76M","0.38"
"Jun 26, 2017","118.36","118.29","118.53","118.17","6.59M","-0.90"
"Jun 23, 2017","119.43","119.65","119.66","119.31","9.26M","0.43"
"Jun 22, 2017","118.92","119.13","119.20","118.60","5.81M","0.34"
"Jun 21, 2017","118.52","118.15","118.66","118.15","4.72M","0.29"
"Jun 20, 2017","118.18","118.42","118.46","118.07","4.62M","-0.21"
"Jun 19, 2017","118.43","118.74","118.84","118.33","6.79M","-0.76"
"Jun 16, 2017","119.34","119.35","119.50","119.24","6.44M","0.02"
"Jun 15, 2017","119.32","119.22","119.50","119.13","6.80M","-0.42"
"Jun 14, 2017","119.82","121.51","121.88","119.57","21.12M","-0.55"
"Jun 13, 2017","120.48","119.95","120.71","119.92","3.79M","0.10"
"Jun 12, 2017","120.36","120.33","120.69","120.27","4.93M","-0.15"
"Jun 09, 2017","120.54","120.46","120.91","120.40","7.05M","-0.91"
"Jun 08, 2017","121.65","122.07","122.08","120.95","8.17M","-0.65"
"Jun 07, 2017","122.45","122.79","123.16","122.02","9.04M","-0.53"
"Jun 06, 2017","123.10","123.09","123.31","122.77","10.80M","1.13"
"Jun 05, 2017","121.73","121.91","121.94","121.58","3.98M","0.10"
"Jun 02, 2017","121.61","121.31","121.71","121.19","7.27M","0.74"
"Jun 01, 2017","120.72","120.17","120.74","120.06","8.70M","0.08"
"May 31, 2017","120.62","120.31","121.23","120.26","10.36M","0.40"
"May 30, 2017","120.14","120.24","120.33","119.95","4.51M","-0.33"
"May 26, 2017","120.54","120.49","120.79","120.33","6.79M","0.89"
"May 25, 2017","119.48","119.52","119.69","119.29","4.11M","-0.11"
"May 24, 2017","119.61","119.07","119.74","118.92","7.06M","0.39"
"May 23, 2017","119.14","120.13","120.19","118.98","8.31M","-0.63"
"May 22, 2017","119.90","119.63","120.14","119.58","5.13M","0.42"
"May 19, 2017","119.40","119.39","119.55","118.88","6.79M","0.50"
"May 18, 2017","118.81","119.77","119.84","118.56","10.34M","-0.82"
"May 17, 2017","119.79","119.36","120.02","119.27","13.94M","1.82"
"May 16, 2017","117.65","117.45","117.91","117.40","4.94M","0.44"
"May 15, 2017","117.14","117.52","117.54","116.99","5.02M","0.27"
"May 12, 2017","116.83","117.07","117.16","116.73","5.43M","0.28"
"May 11, 2017","116.50","116.21","116.84","116.19","6.27M","0.40"
"May 10, 2017","116.04","116.42","116.50","115.86","4.29M","-0.01"
"May 09, 2017","116.05","116.18","116.24","115.56","6.80M","-0.60"
"May 08, 2017","116.75","117.03","117.14","116.68","5.44M","-0.22"
"May 05, 2017","117.01","116.86","117.07","116.68","7.13M","0.19"
"May 04, 2017","116.79","116.81","117.28","116.63","12.41M","-1.01"
"May 03, 2017","117.98","119.18","119.34","117.92","10.81M","-1.40"
"May 02, 2017","119.65","119.30","119.65","119.24","4.90M","-0.02"
"May 01, 2017","119.67","120.21","120.75","119.35","9.33M","-0.91"
"Apr 28, 2017","120.77","120.34","120.77","120.27","9.13M","0.32"
"Apr 27, 2017","120.39","120.42","120.60","119.97","8.27M","-0.37"
"Apr 26, 2017","120.84","120.21","120.96","119.87","9.76M","0.49"
"Apr 25, 2017","120.25","120.53","120.87","120.05","10.34M","-1.01"
"Apr 24, 2017","121.48","120.77","121.51","120.66","11.05M","-0.68"
"Apr 21, 2017","122.31","122.14","122.61","121.73","15.61M","0.29"
"Apr 20, 2017","121.96","121.82","122.17","121.50","11.79M","0.19"
"Apr 19, 2017","121.73","122.25","122.26","121.28","8.47M","-0.89"
"Apr 18, 2017","122.82","122.43","123.03","121.73","10.90M","0.47"
"Apr 17, 2017","122.24","122.55","123.07","121.99","8.47M","-0.29"
"Apr 13, 2017","122.60","122.54","122.65","122.03","9.89M","0.48"
"Apr 12, 2017","122.02","121.38","122.22","121.14","9.50M","0.68"
"Apr 11, 2017","121.19","120.33","121.40","120.29","12.46M","1.45"
"Apr 10, 2017","119.46","119.04","119.69","118.85","4.62M","0.00"
"Apr 07, 2017","119.46","120.30","120.67","119.14","12.35M","0.23"
"Apr 06, 2017","119.18","119.22","119.42","118.97","4.63M","-0.37"
"Apr 05, 2017","119.62","118.62","119.63","118.40","8.11M","0.00"
"Apr 04, 2017","119.62","119.59","119.77","119.38","4.69M","0.23"
"Apr 03, 2017","119.35","118.69","119.37","118.67","6.11M","0.53"
"Mar 31, 2017","118.72","118.61","119.08","118.46","8.52M","0.21"
"Mar 30, 2017","118.47","118.77","119.12","118.32","6.89M","-0.72"
"Mar 29, 2017","119.33","119.22","119.45","119.05","4.91M","0.24"
"Mar 28, 2017","119.04","119.74","119.83","118.78","7.11M","-0.41"
"Mar 27, 2017","119.53","119.93","120.08","119.27","8.52M","0.56"
"Mar 24, 2017","118.86","118.50","119.21","118.39","6.88M","0.16"
"Mar 23, 2017","118.67","119.15","119.25","118.32","6.20M","-0.13"
"Mar 22, 2017","118.83","118.87","119.15","118.68","7.29M","0.24"
"Mar 21, 2017","118.54","117.77","118.80","117.76","9.57M","0.83"
"Mar 20, 2017","117.56","117.31","117.59","117.20","4.00M","0.49"
"Mar 17, 2017","116.99","117.04","117.27","116.91","4.68M","0.22"
"Mar 16, 2017","116.73","117.27","117.29","116.69","9.32M","0.41"
"Mar 15, 2017","116.25","114.29","116.25","114.02","13.52M","1.87"
"Mar 14, 2017","114.12","114.54","115.01","114.03","5.30M","-0.54"
"Mar 13, 2017","114.74","114.63","114.91","114.50","5.81M","0.02"
