"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 11, 2017","11.14","11.22","11.22","11.12","12.85K","-0.71"
"Oct 10, 2017","11.22","11.41","11.41","11.18","31.62K","1.17"
"Oct 06, 2017","11.09","10.97","11.09","10.95","82.12K","0.45"
"Oct 05, 2017","11.04","11.04","11.05","11.01","19.54K","0.18"
"Oct 04, 2017","11.02","11.05","11.08","11.02","69.20K","-0.54"
"Oct 03, 2017","11.08","11.03","11.08","11.03","7.22K","0.45"
"Oct 02, 2017","11.03","11.05","11.08","11.02","21.52K","-0.90"
"Sep 29, 2017","11.13","11.19","11.19","11.11","8.07K","-0.45"
"Sep 28, 2017","11.18","11.17","11.18","11.14","6.79K","0.36"
"Sep 27, 2017","11.14","11.12","11.19","11.12","47.24K","-1.07"
"Sep 26, 2017","11.26","11.32","11.32","11.24","22.76K","-1.14"
"Sep 25, 2017","11.39","11.25","11.39","11.23","18.22K","1.33"
"Sep 22, 2017","11.24","11.22","11.27","11.22","24.75K","0.18"
"Sep 21, 2017","11.22","11.22","11.24","11.20","15.70K","-0.62"
"Sep 20, 2017","11.29","11.40","11.40","11.26","17.30K","-0.53"
"Sep 19, 2017","11.35","11.39","11.39","11.32","29.79K","0.35"
"Sep 18, 2017","11.31","11.35","11.37","11.31","37.97K","-0.96"
"Sep 15, 2017","11.42","11.50","11.50","11.42","20.68K","-0.70"
"Sep 14, 2017","11.50","11.44","11.53","11.44","12.28K","0.44"
"Sep 13, 2017","11.45","11.50","11.52","11.43","82.26K","-0.61"
"Sep 12, 2017","11.52","11.48","11.56","11.48","42.22K","0.00"
"Sep 11, 2017","11.52","11.54","11.57","11.51","32.95K","-1.45"
"Sep 08, 2017","11.69","11.70","11.70","11.63","54.28K","0.09"
"Sep 07, 2017","11.68","11.61","11.69","11.61","199.78K","0.78"
"Sep 06, 2017","11.59","11.65","11.66","11.58","97.07K","-0.77"
"Sep 05, 2017","11.68","11.58","11.68","11.57","30.95K","1.39"
"Sep 01, 2017","11.52","11.49","11.53","11.46","32.06K","0.35"
"Aug 31, 2017","11.48","11.42","11.49","11.39","29.86K","0.61"
"Aug 30, 2017","11.41","11.40","11.41","11.35","11.58K","0.09"
"Aug 29, 2017","11.40","11.51","11.51","11.37","64.71K","0.00"
"Aug 28, 2017","11.40","11.25","11.40","11.25","32.14K","1.42"
"Aug 25, 2017","11.24","11.21","11.26","11.11","13.72K","0.09"
"Aug 24, 2017","11.23","11.21","11.23","11.13","13.78K","-0.27"
"Aug 23, 2017","11.26","11.15","11.26","11.15","32.64K","0.99"
"Aug 22, 2017","11.15","11.16","11.21","11.13","29.21K","-0.54"
"Aug 21, 2017","11.21","11.22","11.24","11.19","20.57K","0.36"
"Aug 18, 2017","11.17","11.25","11.25","11.16","24.38K","-0.09"
"Aug 17, 2017","11.18","11.19","11.20","11.14","81.11K","0.27"
"Aug 16, 2017","11.15","11.01","11.15","11.01","20.20K","1.27"
"Aug 15, 2017","11.01","11.01","11.07","10.98","15.37K","-0.99"
"Aug 14, 2017","11.12","11.17","11.17","11.12","29.11K","-1.16"
"Aug 11, 2017","11.25","11.23","11.25","11.18","221.90K","0.45"
"Aug 10, 2017","11.20","11.14","11.20","11.14","57.02K","0.99"
"Aug 09, 2017","11.09","11.06","11.11","11.03","82.87K","1.19"
"Aug 08, 2017","10.96","10.96","10.99","10.88","38.19K","0.18"
"Aug 04, 2017","10.94","10.98","10.98","10.91","50.86K","-1.00"
"Aug 03, 2017","11.05","11.04","11.05","11.02","121.21K","0.27"
"Aug 02, 2017","11.02","11.03","11.06","11.01","8.55K","-0.18"
"Aug 01, 2017","11.04","11.04","11.07","11.03","12.34K","0.18"
"Jul 31, 2017","11.02","11.05","11.05","11.02","11.63K","-0.36"
"Jul 28, 2017","11.06","11.00","11.06","11.00","23.75K","0.55"
"Jul 27, 2017","11.00","10.98","11.00","10.93","37.96K","0.00"
"Jul 26, 2017","11.00","10.87","11.00","10.83","64.94K","0.92"
"Jul 25, 2017","10.90","10.90","10.92","10.88","14.11K","-0.37"
"Jul 24, 2017","10.94","10.96","10.96","10.92","7.74K","0.18"
"Jul 21, 2017","10.92","10.87","10.92","10.87","28.21K","0.92"
"Jul 20, 2017","10.82","10.79","10.86","10.78","10.23K","0.37"
"Jul 19, 2017","10.78","10.81","10.81","10.78","14.05K","-0.37"
"Jul 18, 2017","10.82","10.82","10.83","10.80","3.18K","0.37"
"Jul 17, 2017","10.78","10.77","10.78","10.74","9.34K","0.56"
"Jul 14, 2017","10.72","10.67","10.72","10.67","18.65K","0.85"
"Jul 13, 2017","10.63","10.62","10.63","10.60","3.32K","0.09"
"Jul 12, 2017","10.62","10.62","10.65","10.62","8.70K","0.09"
"Jul 11, 2017","10.61","10.56","10.62","10.54","15.77K","0.57"
"Jul 10, 2017","10.55","10.55","10.55","10.51","2.61K","0.29"
"Jul 07, 2017","10.52","10.61","10.61","10.49","17.18K","-1.31"
"Jul 06, 2017","10.66","10.63","10.68","10.62","14.15K","0.38"
"Jul 05, 2017","10.62","10.58","10.64","10.57","34.43K","0.19"
"Jul 04, 2017","10.60","10.69","10.69","10.38","58.05K","-1.67"
"Jun 30, 2017","10.78","10.76","10.82","10.75","21.68K","-0.28"
"Jun 29, 2017","10.81","10.83","10.86","10.81","34.69K","-0.64"
"Jun 28, 2017","10.88","10.86","10.89","10.86","9.79K","0.00"
"Jun 27, 2017","10.88","10.84","10.88","10.84","13.56K","0.28"
"Jun 26, 2017","10.85","10.85","10.86","10.84","28.41K","-0.82"
"Jun 23, 2017","10.94","10.93","10.95","10.93","8.12K","0.46"
"Jun 22, 2017","10.89","10.92","10.92","10.87","4.56K","0.37"
"Jun 21, 2017","10.85","10.82","10.87","10.82","10.98K","0.28"
"Jun 20, 2017","10.82","10.87","10.87","10.82","3.42K","-0.18"
"Jun 19, 2017","10.84","10.88","10.88","10.82","19.18K","-0.73"
"Jun 16, 2017","10.92","10.90","10.94","10.89","12.51K","0.00"
"Jun 15, 2017","10.92","10.93","10.94","10.89","24.35K","-0.27"
"Jun 14, 2017","10.95","11.10","11.12","10.93","19.07K","-0.99"
"Jun 13, 2017","11.06","10.99","11.06","10.92","38.31K","0.09"
"Jun 12, 2017","11.05","11.04","11.05","11.02","10.61K","0.36"
"Jun 09, 2017","11.01","11.05","11.07","11.01","27.81K","-1.26"
"Jun 08, 2017","11.15","11.15","11.16","11.08","23.10K","-0.27"
"Jun 07, 2017","11.18","11.20","11.25","11.18","17.14K","-0.62"
"Jun 06, 2017","11.25","11.23","11.26","11.23","41.18K","1.44"
"Jun 05, 2017","11.09","11.12","11.16","11.09","15.02K","-0.27"
"Jun 02, 2017","11.12","11.10","11.12","11.09","20.87K","1.00"
"Jun 01, 2017","11.01","11.01","11.06","11.01","37.95K","-0.54"
"May 31, 2017","11.07","11.03","11.08","11.03","16.23K","0.36"
"May 30, 2017","11.03","11.00","11.03","10.98","34.94K","-0.54"
"May 29, 2017","11.09","11.05","11.09","11.01","17.40K","0.36"
"May 26, 2017","11.05","11.01","11.06","11.01","19.07K","1.10"
"May 25, 2017","10.93","10.92","10.95","10.92","34.47K","-0.36"
"May 24, 2017","10.97","10.92","10.97","10.90","16.69K","0.55"
"May 23, 2017","10.91","11.00","11.00","10.90","16.45K","-0.46"
"May 19, 2017","10.96","10.93","10.96","10.90","18.96K","1.01"
"May 18, 2017","10.85","10.98","10.98","10.84","153.51K","-1.36"
"May 17, 2017","11.00","10.95","11.00","10.90","33.82K","1.85"
"May 16, 2017","10.80","10.72","10.80","10.72","21.51K","0.56"
"May 15, 2017","10.74","10.77","10.77","10.72","109.85K","0.19"
"May 12, 2017","10.72","10.70","10.72","10.69","17.18K","0.28"
"May 11, 2017","10.69","10.65","10.69","10.60","11.31K","0.38"
"May 10, 2017","10.65","10.67","10.67","10.61","12.40K","0.76"
"May 09, 2017","10.57","10.61","10.64","10.56","66.62K","-1.40"
"May 08, 2017","10.72","10.72","10.72","10.68","38.33K","-0.19"
"May 05, 2017","10.74","10.70","10.74","10.67","24.14K","0.37"
"May 04, 2017","10.70","10.71","10.72","10.67","56.55K","-1.02"
"May 03, 2017","10.81","10.92","10.92","10.80","26.13K","-0.92"
"May 02, 2017","10.91","10.91","10.96","10.91","21.30K","-0.37"
"May 01, 2017","10.95","11.04","11.04","10.94","21.32K","-1.35"
"Apr 28, 2017","11.10","10.98","11.10","10.98","14.11K","0.54"
"Apr 27, 2017","11.04","11.05","11.05","11.00","14.38K","-0.45"
"Apr 26, 2017","11.09","10.98","11.09","10.98","23.35K","1.00"
"Apr 25, 2017","10.98","11.05","11.05","10.98","54.68K","-1.08"
"Apr 24, 2017","11.10","11.07","11.13","11.02","37.82K","-1.07"
"Apr 21, 2017","11.22","11.20","11.22","11.18","17.50K","0.27"
"Apr 20, 2017","11.19","11.11","11.19","11.11","78.52K","0.72"
"Apr 19, 2017","11.11","11.20","11.20","11.11","19.05K","-1.07"
"Apr 18, 2017","11.23","11.24","11.26","11.16","20.48K","0.72"
"Apr 17, 2017","11.15","11.23","11.25","11.15","20.94K","-0.54"
"Apr 13, 2017","11.21","11.23","11.24","11.15","59.92K","0.54"
"Apr 12, 2017","11.15","11.07","11.16","11.07","36.95K","0.45"
"Apr 11, 2017","11.10","11.00","11.10","11.00","45.10K","1.46"
"Apr 10, 2017","10.94","10.92","10.94","10.89","14.23K","0.00"
"Apr 07, 2017","10.94","11.00","11.05","10.91","212.95K","0.09"
