"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2017","246.96","246.06","246.99","246.04","45.64M","0.53"
"Jul 18, 2017","245.66","245.06","245.72","244.67","42.74M","0.05"
"Jul 17, 2017","245.53","245.47","245.91","245.33","33.53M","-0.01"
"Jul 14, 2017","245.56","244.43","245.97","244.31","60.26M","0.47"
"Jul 13, 2017","244.42","244.02","244.55","243.76","39.47M","0.17"
"Jul 12, 2017","244.01","243.30","244.20","243.30","59.61M","0.75"
"Jul 11, 2017","242.19","242.16","242.55","240.85","50.36M","-0.07"
"Jul 10, 2017","242.37","241.95","242.80","241.76","36.66M","0.11"
"Jul 07, 2017","242.11","241.21","242.28","240.56","57.97M","0.65"
"Jul 06, 2017","240.55","241.89","242.03","240.34","66.12M","-0.91"
"Jul 05, 2017","242.77","242.63","243.01","241.70","54.43M","0.23"
"Jul 03, 2017","242.21","242.88","243.38","242.21","39.15M","0.17"
"Jun 30, 2017","241.80","242.28","242.71","241.57","86.82M","0.19"
"Jun 29, 2017","241.35","243.66","243.72","239.96","106.95M","-0.88"
"Jun 28, 2017","243.49","242.50","243.72","242.23","70.04M","0.90"
"Jun 27, 2017","241.33","243.04","243.38","241.31","82.25M","-0.81"
"Jun 26, 2017","243.29","243.90","244.38","243.04","56.70M","0.07"
"Jun 23, 2017","243.13","242.91","243.51","242.47","66.99M","0.12"
"Jun 22, 2017","242.84","242.96","243.53","242.64","44.15M","-0.05"
"Jun 21, 2017","242.95","243.42","243.59","242.41","55.98M","-0.02"
"Jun 20, 2017","243.01","244.25","244.26","242.99","56.91M","-0.67"
"Jun 19, 2017","244.66","243.59","244.73","243.48","65.12M","0.83"
"Jun 16, 2017","242.64","242.77","242.83","241.63","84.55M","-0.46"
"Jun 15, 2017","243.77","242.68","243.91","242.36","66.47M","-0.19"
"Jun 14, 2017","244.24","244.86","244.87","243.29","78.60M","-0.13"
"Jun 13, 2017","244.55","243.98","244.61","243.58","60.07M","0.49"
"Jun 12, 2017","243.36","243.13","243.42","242.38","86.11M","-0.02"
"Jun 09, 2017","243.41","244.09","245.01","241.95","132.26M","-0.15"
"Jun 08, 2017","243.78","243.77","244.33","243.17","65.95M","0.05"
"Jun 07, 2017","243.66","243.60","243.92","242.83","54.14M","0.19"
"Jun 06, 2017","243.21","243.34","243.98","243.12","50.38M","-0.32"
"Jun 05, 2017","243.99","243.97","244.30","243.76","44.70M","-0.07"
"Jun 02, 2017","244.17","243.42","244.35","243.08","88.67M","0.33"
"Jun 01, 2017","243.36","241.97","243.38","241.64","68.96M","0.80"
"May 31, 2017","241.44","241.84","241.88","240.64","91.80M","-0.02"
"May 30, 2017","241.50","241.34","241.79","241.16","35.20M","-0.09"
"May 26, 2017","241.71","241.54","241.90","241.45","46.63M","-0.02"
"May 25, 2017","241.76","241.20","242.08","240.96","64.07M","0.48"
"May 24, 2017","240.61","240.32","240.73","239.93","49.18M","0.23"
"May 23, 2017","240.05","239.95","240.24","239.51","48.34M","0.22"
"May 22, 2017","239.52","238.90","239.71","238.82","61.01M","0.51"
"May 19, 2017","238.31","237.33","239.08","237.27","115.01M","0.65"
"May 18, 2017","236.77","235.73","237.75","235.43","107.05M","0.40"
"May 17, 2017","235.82","238.10","238.64","235.75","172.17M","-1.77"
"May 16, 2017","240.08","240.64","240.67","239.63","51.24M","-0.09"
"May 15, 2017","240.30","239.47","240.44","239.45","61.92M","0.55"
"May 12, 2017","238.98","239.09","239.43","238.67","53.91M","-0.17"
"May 11, 2017","239.38","239.35","239.57","238.13","62.36M","-0.20"
"May 10, 2017","239.87","239.39","239.87","239.15","54.29M","0.18"
"May 09, 2017","239.44","239.96","240.19","239.04","51.36M","-0.09"
"May 08, 2017","239.66","239.75","239.92","239.17","48.39M","-0.02"
"May 05, 2017","239.70","239.19","239.72","238.68","62.00M","0.39"
"May 04, 2017","238.76","238.83","238.92","237.78","61.46M","0.12"
"May 03, 2017","238.48","238.29","238.88","237.70","73.14M","-0.12"
"May 02, 2017","238.77","238.84","238.98","238.30","57.38M","0.04"
"May 01, 2017","238.68","238.68","239.17","238.19","66.88M","0.25"
"Apr 28, 2017","238.08","238.90","238.93","237.93","63.53M","-0.22"
"Apr 27, 2017","238.60","238.77","238.95","237.98","57.41M","0.08"
"Apr 26, 2017","238.40","238.51","239.53","238.35","84.70M","-0.06"
"Apr 25, 2017","238.55","237.91","238.95","237.81","76.70M","0.58"
"Apr 24, 2017","237.17","237.18","237.41","234.56","119.21M","1.10"
"Apr 21, 2017","234.59","235.25","235.31","234.13","110.39M","-0.32"
"Apr 20, 2017","235.34","234.15","235.84","233.78","92.57M","0.81"
"Apr 19, 2017","233.44","234.52","234.95","233.18","68.70M","-0.18"
"Apr 18, 2017","233.87","233.72","234.49","233.08","83.23M","-0.30"
"Apr 17, 2017","234.57","233.11","234.57","232.88","68.41M","0.89"
"Apr 13, 2017","232.51","233.64","234.49","232.51","92.88M","-0.65"
"Apr 12, 2017","234.03","234.74","234.96","233.77","81.86M","-0.44"
"Apr 11, 2017","235.06","234.90","235.18","233.34","88.05M","-0.12"
"Apr 10, 2017","235.34","235.36","236.25","234.73","67.62M","0.06"
"Apr 07, 2017","235.20","235.15","236.00","234.64","74.41M","-0.10"
"Apr 06, 2017","235.44","234.94","236.04","234.43","69.14M","0.28"
"Apr 05, 2017","234.78","236.26","237.39","234.54","108.80M","-0.30"
"Apr 04, 2017","235.48","235.00","235.58","234.56","56.47M","0.06"
"Apr 03, 2017","235.33","235.80","236.03","233.91","85.55M","-0.17"
"Mar 31, 2017","235.74","235.90","236.51","235.68","73.73M","-0.23"
"Mar 30, 2017","236.29","235.47","236.52","235.27","56.74M","0.32"
"Mar 29, 2017","235.54","234.99","235.81","234.72","61.95M","0.09"
"Mar 28, 2017","235.32","233.27","235.81","233.14","93.48M","0.73"
"Mar 27, 2017","233.62","231.93","233.92","231.61","87.45M","-0.10"
"Mar 24, 2017","233.86","234.38","235.04","232.96","112.51M","-0.07"
"Mar 23, 2017","234.03","234.00","235.34","233.60","100.41M","-0.11"
"Mar 22, 2017","234.28","233.77","234.61","233.05","97.57M","0.24"
"Mar 21, 2017","233.73","237.47","237.61","233.58","131.81M","-1.28"
"Mar 20, 2017","236.77","237.03","237.36","236.32","52.54M","-0.11"
"Mar 17, 2017","237.03","237.75","237.97","237.03","89.00M","-0.61"
"Mar 16, 2017","238.48","239.11","239.20","238.10","78.34M","-0.20"
"Mar 15, 2017","238.95","237.56","239.44","237.29","96.08M","0.87"
"Mar 14, 2017","236.90","237.18","237.24","236.19","59.88M","-0.38"
"Mar 13, 2017","237.81","237.62","237.86","237.24","57.26M","0.05"
"Mar 10, 2017","237.69","237.97","238.02","236.59","81.99M","0.35"
"Mar 09, 2017","236.86","236.70","237.24","235.74","90.68M","0.13"
"Mar 08, 2017","236.56","237.34","237.64","236.40","78.17M","-0.19"
"Mar 07, 2017","237.00","237.36","237.77","236.76","65.10M","-0.30"
"Mar 06, 2017","237.71","237.50","238.12","237.01","55.39M","-0.30"
"Mar 03, 2017","238.42","238.17","238.61","237.73","81.97M","0.06"
"Mar 02, 2017","238.27","239.56","239.57","238.21","70.25M","-0.63"
"Mar 01, 2017","239.78","238.39","240.32","238.37","149.16M","1.40"
"Feb 28, 2017","236.47","236.67","236.95","236.01","96.96M","-0.27"
"Feb 27, 2017","237.11","236.64","237.31","236.35","56.52M","0.16"
"Feb 24, 2017","236.74","235.46","236.79","235.41","82.38M","0.13"
"Feb 23, 2017","236.44","236.88","236.90","235.56","74.62M","0.07"
"Feb 22, 2017","236.28","236.02","236.54","235.83","62.12M","-0.09"
"Feb 21, 2017","236.49","235.52","236.69","235.51","88.95M","0.60"
"Feb 17, 2017","235.09","233.95","235.09","233.93","77.20M","0.16"
"Feb 16, 2017","234.72","234.96","235.16","233.85","84.72M","-0.09"
"Feb 15, 2017","234.92","233.45","235.14","233.39","86.79M","0.52"
"Feb 14, 2017","233.70","232.56","233.71","232.16","71.11M","0.40"
"Feb 13, 2017","232.77","232.08","233.07","232.05","55.18M","0.54"
"Feb 10, 2017","231.51","231.00","231.77","230.62","66.02M","0.39"
"Feb 09, 2017","230.60","229.56","230.95","229.52","65.96M","0.59"
"Feb 08, 2017","229.24","228.61","229.39","228.31","51.57M","0.13"
"Feb 07, 2017","228.94","229.38","229.66","228.72","57.93M","0.00"
"Feb 06, 2017","228.93","228.87","229.33","228.54","57.79M","-0.18"
"Feb 03, 2017","229.34","228.82","229.55","228.46","80.56M","0.69"
"Feb 02, 2017","227.77","227.20","228.10","226.82","69.66M","0.07"
"Feb 01, 2017","227.62","228.25","228.59","226.94","79.12M","0.04"
"Jan 31, 2017","227.53","226.98","227.60","226.32","75.88M","-0.01"
"Jan 30, 2017","227.55","228.17","228.20","226.41","79.74M","-0.62"
"Jan 27, 2017","228.97","229.42","229.59","228.76","59.71M","-0.16"
"Jan 26, 2017","229.33","229.40","229.71","229.01","59.97M","-0.10"
"Jan 25, 2017","229.57","228.70","229.57","228.51","84.44M","0.87"
"Jan 24, 2017","227.60","226.40","228.08","226.27","95.56M","0.64"
"Jan 23, 2017","226.15","226.35","226.81","225.27","75.06M","-0.26"
"Jan 20, 2017","226.74","226.70","227.31","225.97","129.17M","0.37"
