"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 10, 2017","23.42","23.36","23.43","23.35","947.89K","0.47"
"Oct 06, 2017","23.31","23.32","23.34","23.24","1.62M","-0.34"
"Oct 05, 2017","23.39","23.35","23.42","23.35","1.13M","0.30"
"Oct 04, 2017","23.32","23.32","23.35","23.28","1.69M","0.00"
"Oct 03, 2017","23.32","23.30","23.34","23.28","3.47M","0.21"
"Oct 02, 2017","23.27","23.16","23.29","23.16","4.53M","0.52"
"Sep 29, 2017","23.15","23.14","23.25","23.14","3.94M","0.17"
"Sep 28, 2017","23.11","23.08","23.16","23.07","4.02M","0.09"
"Sep 27, 2017","23.09","22.90","23.10","22.88","5.22M","1.14"
"Sep 26, 2017","22.83","22.91","22.91","22.81","2.29M","-0.35"
"Sep 25, 2017","22.91","22.82","22.91","22.78","2.07M","0.44"
"Sep 22, 2017","22.81","22.81","22.84","22.75","1.65M","-0.09"
"Sep 21, 2017","22.83","22.71","22.87","22.69","3.20M","0.53"
"Sep 20, 2017","22.71","22.60","22.71","22.60","1.92M","0.62"
"Sep 19, 2017","22.57","22.50","22.61","22.50","1.47M","0.40"
"Sep 18, 2017","22.48","22.40","22.50","22.37","1.96M","0.54"
"Sep 15, 2017","22.36","22.38","22.38","22.30","1.79M","0.00"
"Sep 14, 2017","22.36","22.29","22.37","22.27","1.85M","0.45"
"Sep 13, 2017","22.26","22.32","22.34","22.26","5.89M","-0.13"
"Sep 12, 2017","22.29","22.20","22.32","22.14","3.36M","0.63"
"Sep 11, 2017","22.15","22.14","22.19","22.10","3.71M","0.45"
"Sep 08, 2017","22.05","22.04","22.08","22.00","2.52M","-0.09"
"Sep 07, 2017","22.07","22.18","22.18","22.06","1.99M","-0.23"
"Sep 06, 2017","22.12","22.21","22.31","22.11","5.75M","-0.18"
"Sep 05, 2017","22.16","22.31","22.33","22.06","3.23M","-0.85"
"Sep 01, 2017","22.35","22.38","22.38","22.28","2.31M","0.00"
"Aug 31, 2017","22.35","22.37","22.40","22.28","4.61M","0.31"
"Aug 30, 2017","22.28","22.22","22.35","22.20","4.21M","0.27"
"Aug 29, 2017","22.22","22.06","22.22","21.98","1.68M","0.09"
"Aug 28, 2017","22.20","22.23","22.23","22.07","2.02M","0.00"
"Aug 25, 2017","22.20","22.30","22.30","22.20","1.54M","-0.18"
"Aug 24, 2017","22.24","22.27","22.29","22.20","1.82M","-0.67"
"Aug 23, 2017","22.39","22.21","22.46","22.20","2.48M","0.54"
"Aug 22, 2017","22.27","22.26","22.29","22.23","3.00M","0.23"
"Aug 21, 2017","22.22","22.20","22.24","22.15","1.12M","0.00"
"Aug 18, 2017","22.22","22.32","22.32","22.16","2.68M","-0.54"
"Aug 17, 2017","22.34","22.41","22.46","22.34","1.93M","-0.40"
"Aug 16, 2017","22.43","22.55","22.59","22.41","4.37M","-0.18"
"Aug 15, 2017","22.47","22.56","22.56","22.45","1.57M","-0.22"
"Aug 14, 2017","22.52","22.44","22.64","22.42","4.76M","0.81"
"Aug 11, 2017","22.34","22.38","22.43","22.29","4.51M","-0.27"
"Aug 10, 2017","22.40","22.61","22.63","22.38","3.83M","-1.02"
"Aug 09, 2017","22.63","22.66","22.74","22.57","2.98M","-0.22"
"Aug 08, 2017","22.68","22.69","22.74","22.62","1.83M","-0.04"
"Aug 04, 2017","22.69","22.67","22.70","22.60","1.99M","0.49"
"Aug 03, 2017","22.58","22.68","22.78","22.55","3.64M","-0.40"
"Aug 02, 2017","22.67","22.54","22.69","22.53","4.43M","0.62"
"Aug 01, 2017","22.53","22.49","22.59","22.28","3.46M","0.36"
"Jul 31, 2017","22.45","22.44","22.55","22.44","2.50M","0.13"
"Jul 28, 2017","22.42","22.47","22.47","22.33","3.29M","-0.44"
"Jul 27, 2017","22.52","22.53","22.58","22.31","3.59M","0.18"
"Jul 26, 2017","22.48","22.62","22.62","22.46","2.89M","-0.35"
"Jul 25, 2017","22.56","22.60","22.70","22.51","2.66M","0.36"
"Jul 24, 2017","22.48","22.56","22.56","22.39","1.91M","-0.27"
"Jul 21, 2017","22.54","22.64","22.64","22.45","2.65M","-0.53"
"Jul 20, 2017","22.66","22.67","22.75","22.57","2.28M","0.22"
"Jul 19, 2017","22.61","22.49","22.63","22.49","2.54M","0.67"
"Jul 18, 2017","22.46","22.49","22.50","22.36","2.91M","-0.18"
"Jul 17, 2017","22.50","22.55","22.56","22.47","1.55M","-0.04"
"Jul 14, 2017","22.51","22.45","22.57","22.42","3.22M","0.27"
"Jul 13, 2017","22.45","22.48","22.49","22.41","3.13M","0.00"
"Jul 12, 2017","22.45","22.55","22.70","22.44","2.66M","-0.04"
"Jul 11, 2017","22.46","22.42","22.46","22.28","6.43M","0.27"
"Jul 10, 2017","22.40","22.31","22.47","22.24","2.45M","0.45"
"Jul 07, 2017","22.30","22.31","22.31","22.12","3.69M","-0.27"
"Jul 06, 2017","22.36","22.35","22.45","22.30","5.43M","-0.36"
"Jul 05, 2017","22.44","22.39","22.47","22.22","7.01M","0.22"
"Jul 04, 2017","22.39","22.54","22.57","22.30","1.83M","-0.18"
"Jun 30, 2017","22.43","22.53","22.58","22.34","5.79M","-0.44"
"Jun 29, 2017","22.53","22.73","22.75","22.43","6.52M","-0.84"
"Jun 28, 2017","22.72","22.65","22.76","22.60","4.23M","0.40"
"Jun 27, 2017","22.63","22.65","22.71","22.57","7.44M","-0.09"
"Jun 26, 2017","22.65","22.69","22.75","22.57","1.14M","0.09"
"Jun 23, 2017","22.63","22.53","22.68","22.50","3.30M","0.58"
"Jun 22, 2017","22.50","22.41","22.57","22.41","2.30M","0.40"
"Jun 21, 2017","22.41","22.42","22.56","22.37","2.60M","0.04"
"Jun 20, 2017","22.40","22.54","22.55","22.38","2.95M","-0.88"
"Jun 19, 2017","22.60","22.59","22.70","22.57","2.27M","0.36"
"Jun 16, 2017","22.52","22.41","22.54","22.33","5.53M","0.31"
"Jun 15, 2017","22.45","22.35","22.47","22.28","4.36M","0.13"
"Jun 14, 2017","22.42","22.72","22.72","22.41","5.81M","-1.28"
"Jun 13, 2017","22.71","22.75","22.75","22.59","4.07M","-0.04"
"Jun 12, 2017","22.72","22.85","23.08","22.67","5.70M","-0.74"
"Jun 09, 2017","22.89","22.78","22.93","22.76","6.04M","0.44"
"Jun 08, 2017","22.79","22.67","22.80","22.65","2.17M","0.40"
"Jun 07, 2017","22.70","22.81","22.90","22.67","2.40M","-0.61"
"Jun 06, 2017","22.84","22.74","22.85","22.71","3.04M","0.22"
"Jun 05, 2017","22.79","22.78","22.86","22.66","2.97M","-0.22"
"Jun 02, 2017","22.84","22.84","22.87","22.80","2.66M","-0.22"
"Jun 01, 2017","22.89","22.73","22.93","22.69","4.09M","0.84"
"May 31, 2017","22.70","22.75","22.78","22.59","2.03M","-0.18"
"May 30, 2017","22.74","22.75","22.82","22.72","2.33M","-0.26"
"May 29, 2017","22.80","22.80","22.87","22.77","1.06M","0.09"
"May 26, 2017","22.78","22.78","22.80","22.69","2.19M","0.04"
"May 25, 2017","22.77","22.87","22.90","22.64","5.44M","0.09"
"May 24, 2017","22.75","22.85","22.85","22.61","3.50M","-1.13"
"May 23, 2017","23.01","23.10","23.10","23.00","3.29M","0.22"
"May 19, 2017","22.96","22.81","23.00","22.77","6.25M","1.15"
"May 18, 2017","22.70","22.63","22.80","22.49","5.02M","0.13"
"May 17, 2017","22.67","23.06","23.06","22.67","4.93M","-1.86"
"May 16, 2017","23.10","23.34","23.40","23.09","2.91M","-0.69"
"May 15, 2017","23.26","23.21","23.34","23.21","3.25M","0.61"
"May 12, 2017","23.12","23.11","23.21","23.04","3.37M","0.00"
"May 11, 2017","23.12","23.19","23.25","23.07","3.23M","-0.52"
"May 10, 2017","23.24","23.19","23.26","23.15","2.07M","0.35"
"May 09, 2017","23.16","23.32","23.35","23.07","3.76M","-0.56"
"May 08, 2017","23.29","23.23","23.33","23.22","2.65M","0.39"
"May 05, 2017","23.20","22.99","23.22","22.93","2.75M","1.27"
"May 04, 2017","22.91","23.07","23.09","22.83","5.31M","-0.82"
"May 03, 2017","23.10","23.14","23.23","23.07","2.77M","-0.39"
"May 02, 2017","23.19","23.12","23.24","23.09","3.41M","0.30"
"May 01, 2017","23.12","23.19","23.19","23.10","1.60M","-0.17"
"Apr 28, 2017","23.16","23.07","23.25","23.01","2.52M","0.52"
"Apr 27, 2017","23.04","23.29","23.30","22.91","3.25M","-1.07"
"Apr 26, 2017","23.29","23.42","23.48","23.29","3.93M","-0.60"
"Apr 25, 2017","23.43","23.42","23.52","23.42","3.56M","0.21"
"Apr 24, 2017","23.38","23.31","23.46","23.30","8.39M","0.91"
