"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 11, 2017","17.62","17.60","17.63","17.58","27.78K","0.17"
"Oct 10, 2017","17.59","17.56","17.61","17.52","54.49K","0.46"
"Oct 06, 2017","17.51","17.54","17.54","17.47","20.63K","-0.28"
"Oct 05, 2017","17.56","17.54","17.58","17.54","8.36K","0.17"
"Oct 04, 2017","17.53","17.52","17.54","17.51","17.69K","0.11"
"Oct 03, 2017","17.51","17.49","17.54","17.49","30.07K","0.11"
"Oct 02, 2017","17.49","17.41","17.50","17.41","32.09K","0.40"
"Sep 29, 2017","17.42","17.45","17.47","17.42","14.62K","-0.06"
"Sep 28, 2017","17.43","17.40","17.43","17.38","26.76K","0.23"
"Sep 27, 2017","17.39","17.32","17.39","17.31","38.59K","0.35"
"Sep 26, 2017","17.33","17.38","17.38","17.33","12.17K","-0.29"
"Sep 25, 2017","17.38","17.28","17.39","17.28","18.29K","0.64"
"Sep 22, 2017","17.27","17.30","17.30","17.27","21.44K","-0.12"
"Sep 21, 2017","17.29","17.25","17.32","17.25","36.31K","0.23"
"Sep 20, 2017","17.25","17.21","17.25","17.20","48.14K","0.29"
"Sep 19, 2017","17.20","17.14","17.21","17.14","30.38K","0.41"
"Sep 18, 2017","17.13","17.04","17.13","17.04","31.21K","0.65"
"Sep 15, 2017","17.02","17.07","17.07","17.02","9.44K","-0.35"
"Sep 14, 2017","17.08","17.03","17.08","17.03","32.09K","0.29"
"Sep 13, 2017","17.03","17.01","17.04","17.00","50.12K","0.12"
"Sep 12, 2017","17.01","16.94","17.02","16.94","21.77K","0.53"
"Sep 11, 2017","16.92","16.92","16.94","16.90","23.29K","0.48"
"Sep 08, 2017","16.84","16.88","16.88","16.83","25.05K","-0.30"
"Sep 07, 2017","16.89","16.92","16.92","16.87","20.27K","-0.12"
"Sep 06, 2017","16.91","16.95","16.97","16.90","24.69K","-0.06"
"Sep 05, 2017","16.92","17.03","17.03","16.85","37.51K","-0.70"
"Sep 01, 2017","17.04","17.03","17.06","17.02","11.43K","0.18"
"Aug 31, 2017","17.01","16.96","17.01","16.95","55.89K","0.41"
"Aug 30, 2017","16.94","16.83","16.95","16.83","14.84K","0.65"
