id,90dayPrice,cashandcashequivalents,cashfromfinancingactivities,cashfrominvestingactivities,cashfromoperatingactivities,costofrevenue,ebit,grossprofit,incomebeforetaxes,interestexpense,netincome,propertyplantequipmentnet,sellinggeneraladministrativeexpenses,totalassets,totalcurrentassets,totalliabilities,totalcurrentliabilities,totallongtermdebt,totalreceivablesnet,totalrevenue,totalshorttermdebt,totalstockholdersequity
AAL2016q3,1.0,-0.146,-0.574,-0.474,-0.519,0.043,-0.183,0.016,-0.204,0.004,-0.22399999999999998,0.023,0.038,0.001,-0.012,-0.026000000000000002,-0.0,0.02,0.069,0.022000000000000002,0.048,0.018000000000000002
AAP2016q3,0.0,0.14,1.6440000000000001,0.297,1.073,0.012,-0.106,-0.022000000000000002,-0.149,-0.031,-0.086,0.006999999999999999,0.001,-0.003,-0.003,-0.001,-0.023,-0.109,0.045,-0.003,-0.079,0.039
ABBV2016q3,1.0,-0.017,-2.178,-0.9540000000000001,-0.242,0.07,-0.011000000000000001,-0.024,-0.039,0.111,-0.006999999999999999,0.008,-0.057999999999999996,-0.009000000000000001,-0.03,-0.018000000000000002,-0.023,-0.001,-0.01,-0.003,-0.95,0.147
ABC2017q1,0.0,-0.34700000000000003,0.096,0.059000000000000004,-1.317,0.019,0.737,-0.077,0.929,-0.156,0.722,0.065,0.013999999999999999,0.008,0.01,0.01,0.009000000000000001,0.0,0.057,0.016,-0.005,-0.006
ABT2016q3,1.0,-0.03,3.168,-0.623,0.33899999999999997,-0.001,0.099,-0.01,-1.25,0.136,-1.535,-0.016,-0.063,-0.008,-0.001,-0.040999999999999995,-0.023,-0.006999999999999999,-0.069,-0.006,-0.125,0.005
ACHC2016q3,1.0,-0.09699999999999999,-0.963,-0.6,-0.382,-0.021,-0.127,-0.028999999999999998,-2.522,0.002,-3.0869999999999997,-0.149,-0.002,-0.035,0.001,-0.094,-0.01,0.002,-0.027000000000000003,-0.028999999999999998,0.057,-0.08
ACIW2016q3,1.0,-0.03,-1.3419999999999999,0.223,-0.565,-0.131,-0.664,0.11599999999999999,-0.521,0.013000000000000001,-0.41700000000000004,0.1,-0.03,0.001,-0.021,-0.065,0.003,0.03,-0.043,-0.013000000000000001,0.001,-0.001
ACM2017q1,0.0,-0.048,-0.893,-0.233,-0.7859999999999999,0.003,1.5490000000000002,0.155,-4.0489999999999995,-0.26899999999999996,5.0,-0.016,0.16,-0.016,-0.003,-0.026000000000000002,-0.022000000000000002,-0.002,0.0,0.008,-0.021,0.003
ACN2017q1,1.0,-0.16899999999999998,1.296,5.0,-0.451,-0.005,0.114,0.027999999999999997,-0.08800000000000001,-0.22899999999999998,-0.061,-0.028999999999999998,-0.043,-0.008,-0.051,0.033,-0.002,0.004,0.04,0.004,0.0,-0.018000000000000002
ACN2017q2,1.0,-0.20600000000000002,-0.414,-0.501,-0.857,-0.003,-0.145,-0.083,-0.16,0.304,-0.165,0.043,-0.023,-0.018000000000000002,-0.053,-0.08900000000000001,-0.07,-0.001,0.015,-0.027000000000000003,0.062,0.07400000000000001
