Date,absorbed,length,completion,absorbedCompletion,unabsorbedCompletion,starts,construction
1990-01-31,1937,12.9,,67.3,4450,,
1990-02-28,1792,12.8,,56.4,4307,,
1990-03-31,1999,12,14770,66.4,4681,13398,57354
1990-04-30,1688,12.4,,52.7,5165,,
1990-05-31,2709,10.8,,70.6,4960,,
1990-06-30,2150,9.5,17024,73.7,4957,18463,58406
1990-07-31,2496,9.6,,69.2,5350,,
1990-08-31,858,8.8,,53.4,5394,,
1990-09-30,1858,12.4,16588,56.6,5745,12745,54144
1990-10-31,3011,12.4,,72.1,6294,,
1990-11-30,1039,13.9,,49.9,6471,,
1990-12-31,1317,10.1,15234,46.9,6975,10918,49721
1991-01-31,3025,13.7,,64.2,7829,,
1991-02-28,1875,12.9,,65.3,7771,,
1991-03-31,1707,11.7,13649,54.6,7647,6380,42149
1991-04-30,2055,12.5,,58.2,7558,,
1991-05-31,1519,12.1,,56.1,7340,,
1991-06-30,1777,12.2,15836,51.8,7172,12405,38662
1991-07-31,2232,10.6,,58.1,7374,,
1991-08-31,1364,10.4,,62.7,7265,,
1991-09-30,1535,12.6,14057,59.8,7419,13205,37397
1991-10-31,1679,11.7,,57.5,7730,,
1991-11-30,959,9.5,,55.1,7442,,
1991-12-31,787,12.4,9826,35.7,7858,11885,39039
1992-01-31,2031,0,,64.4,8237,,
1992-02-29,980,0,,48.9,8121,,
1992-03-31,1029,0,10289,50.3,7831,9559,38148
1992-04-30,1026,0,,42.1,7573,,
1992-05-31,1244,0,,46.5,7951,,
1992-06-30,1268,0,12704,55.5,7764,13260,38102
1992-07-31,2004,0,,63.6,7864,,
1992-08-31,1649,0,,57.3,7927,,
1992-09-30,1260,0,14279,42.1,7723,12305,36085
1992-10-31,1031,0,,47.5,7468,,
1992-11-30,947,0,,61.4,7285,,
1992-12-31,773,0,10682,49.4,7387,9982,35170
1993-01-31,844,0,,55.9,7217,,
1993-02-28,600,0,,45.1,7057,,
1993-03-31,1165,0,7756,57.4,6757,6558,33473
1993-04-30,970,0,,55.6,6507,,
1993-05-31,1169,0,,58.7,6547,,
1993-06-30,1868,0,10146,65.4,6553,10833,34356
1993-07-31,1957,0,,63.9,6316,,
1993-08-31,1490,0,,57.7,6289,,
1993-09-30,1687,0,14821,62.7,6439,11404,30919
1993-10-31,1060,0,,60,6270,,
1993-11-30,1579,0,,64.5,6342,,
1993-12-31,1230,0,8943,58.7,6484,11259,32724
1994-01-31,1222,11,,65.5,6347,,
1994-02-28,1269,8.1,,66.9,6161,,
1994-03-31,1009,14.1,7419,53.5,5963,7504,32783
1994-04-30,1541,11.6,,75.1,5663,,
1994-05-31,1165,13.5,,57.4,5499,,
1994-06-30,1974,10.4,9104,66.9,5686,9543,33409
1994-07-31,2386,10.3,,65.7,5985,,
1994-08-31,1232,9.8,,52.9,6143,,
1994-09-30,2295,9.4,13453,67.9,6527,8380,28233
1994-10-31,1350,11.9,,54.8,6700,,
1994-11-30,1529,11.6,,68.3,6542,,
1994-12-31,930,8.5,10549,60.9,6524,9755,27461
1995-01-31,1621,15.1,,65.6,6751,,
1995-02-28,1322,9.9,,66.7,6827,,
1995-03-31,972,9.2,7187,61.3,6748,6491,26884
1995-04-30,1620,11.5,,64.5,7135,,
1995-05-31,925,10.4,,55.1,7010,,
1995-06-30,1360,8.5,8320,44,7272,7110,25658
1995-07-31,1784,9.6,,56.7,7424,,
1995-08-31,1200,9,,42.7,7201,,
1995-09-30,1108,15.6,8130,57.1,7025,6939,24073
1995-10-31,1436,9.9,,59.3,7168,,
1995-11-30,1649,11.7,,61.4,7257,,
1995-12-31,1671,13.7,7835,56.4,7624,6545,22620
1996-01-31,1354,11.2,,69.8,7501,,
1996-02-29,1101,11.1,,52.3,7380,,
1996-03-31,1139,9.7,5415,59.8,6995,4277,21357
1996-04-30,1591,12.2,,67.7,6523,,
1996-05-31,895,10.9,,50.6,6072,,
1996-06-30,1401,10.6,6141,59.7,5816,5994,21122
1996-07-31,1665,9.8,,61.8,5892,,
1996-08-31,1370,14.4,,71.7,5636,,
1996-09-30,1409,11.3,6991,55.5,5824,6480,20617
1996-10-31,2098,12.7,,81,5317,,
1996-11-30,955,10.5,,57.5,5029,,
1996-12-31,1293,13.9,5856,73.2,4917,6311,20999
1997-01-31,1092,11.6,,71.7,4694,,
1997-02-28,863,10.3,,63.3,4319,,
1997-03-31,1023,9.6,4350,66.7,4138,4832,21325
1997-04-30,1982,13.1,,79.2,4071,,
1997-05-31,1340,12.7,,73.4,3940,,
1997-06-30,894,13.9,6756,56.7,3835,6952,21473
1997-07-31,1497,8.2,,71.4,3647,,
1997-08-31,1019,8.5,,62.3,3405,,
1997-09-30,1417,9.9,6651,59.9,3759,6533,21534
1997-10-31,1171,11.9,,60.4,3850,,
1997-11-30,1392,11.4,,69.4,3959,,
1997-12-31,2075,11.5,7813,77.2,4199,6896,20703
1998-01-31,935,11.5,,80.2,4084,,
1998-02-28,1266,13.2,,68.6,4135,,
1998-03-31,923,12.4,4595,58.4,4148,5130,21708
1998-04-30,1481,10.8,,75.3,4115,,
1998-05-31,908,11.3,,69.2,3922,,
1998-06-30,1640,10.4,5946,78.8,3865,7212,22926
1998-07-31,1437,8.5,,57.3,4053,,
1998-08-31,866,9.1,,56.3,4025,,
1998-09-30,800,11.8,5880,53.7,4014,6871,23948
1998-10-31,1001,11.9,,66.1,4110,,
1998-11-30,884,8.8,,52.2,4232,,
1998-12-31,1272,12,5739,64,4376,6465,24571
1999-01-31,945,10.6,,77.1,4114,,
