Aboriginal Households (% of Households in Core Housing Need),AHCHNP
Aboriginal Households (%),ANHHP
Aboriginal Households (Households in Core Housing Need),AHCHN
Aboriginal Households (Households Tested for Core Housing Need),AHTCHN
Aboriginal Households,ABHH
Activity Limitations (% of Households in Core Housing Need),ALCHNP
Activity Limitations (%),ACLIMP
Activity Limitations (Households in Core Housing Need),ALCHN
Activity limitations (Households Tested for Core Housing Need),ALTCHN
Activity Limitations,ACLIM
Age of Population (65 and Over %),APP65
Age of Population (65 and Over),APN65
Age of Population (All Age Groups %),APPAA
Age of Population (All Age Groups),APNAA
Age of Primary Household Maintainer (% of Households in Core Housing Need),APHMP
Age of Primary Household Maintainer (65 and Over) (%),APHMAP65
Age of Primary Household Maintainer (65 and Over),APHM65
Age of Primary Household Maintainer (All Households) (%),APHMAP
Age of Primary Household Maintainer (All Households),APHMA
Age of Primary Household Maintainer (Households in Core Housing Need),APHM
Age of Primary Household Maintainer (Households Tested for Core Housing Need),APHMT
Average Value of Owner-occupied Dwellings ($),AVOOD
"Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units (in Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HPPA50
"Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units (in Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HPPU50
Condominiums as Households (%),CONHHP
Condominiums as Households,CONHH
Household Income - Average and Median ($),HIAM
Household Income - Income Ranges (Before Taxes) (%),HIRBTP
Household Income - Income Ranges (Before Taxes),HIRBT
Household Mortgages (%),MORTP
Household Mortgages,MORT
Household Size (%),HHSZP
Household Size,HHSZ
Household Structure Type (%),HHSTP
Household Structure Type,HHST
Household Type (% of Households in Core Housing Need),HTCHNP
Household Type (All Household Types) (%),HHTAP
Household Type (All Household Types),HHTA
Household Type (Households in Core Housing Need),HTCHN
Household Type (Households Tested for Core Housing Need),HTTCHN
Household Type (Lone-Parent Households) (%),HHTLPP
Household Type (Lone-Parent Households),HHTLP
Household Type (One-Person Households) (%),HHTOPP
Household Type (One-Person Households),HHTOP
Household Type - Lone-parent Households (% of Households in Core Housing Need),HTLPCHNP
Household Type - Lone-parent Households (Households in Core Housing Need),HTLPCHN
Household Type - Lone-parent Households (Households Tested for Core Housing Need),HTLPTCHN
Household Type - One-Person Households (% of Households in Core Housing Need),HTOPCHNP
Household Type - One-Person Households (Households in Core Housing Need),HTOPCHN
Household Type - One-Person Households (Households Tested for Core Housing Need),HTOPTCHN
Households with Children Under 18 (% of Households in Core Housing Need),HC18CHNP
Households with Children Under 18 (%),HHC18P
Households with Children Under 18 (Households in Core Housing Need),HC18CHN
Households with Children Under 18 (Households Tested for Core Housing Need),HC18TCHN
Households with Children Under 18,HHC18
Households with Seniors (% of Households in Core Housing Need),HSCHNP
Households with Seniors (%),HHSNP
Households with Seniors (Households in Core Housing Need),HSCHN
Households with Seniors (Households Tested for Core Housing Need),HSTCHN
Households with Seniors,HHSN
"Housing Absorbed Homeowner and Condominium Units by Dwelling Type (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HAD50
Housing Absorbed Homeowner and Condominium Units by Dwelling Type (In Census Metropolitan Areas),HADMA
"Housing Absorbed Homeowner and Condominium Units by Intended Market (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HAI50
Housing Absorbed Homeowner and Condominium Units by Intended Market (In Census Metropolitan Areas),HAIMA
"Housing Average Length of Construction by Dwelling Type (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HLD50
Housing Average Length of Construction by Dwelling Type (In Census Metropolitan Areas),HLDMA
"Housing Average Length of Construction by Intended Market (In Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",HLI50
Housing Average Length of Construction by Intended Market (In Census Metropolitan Areas),HLIMA
Housing Completions by Dwelling Type (All Areas),HCDAA
